After "Aftır" - Sonra
Agreed "Egriid" - Anlaşıldı, Kararlaştırıldı	
Answer "Ensvır" - Cevap	
Art "Art" - Sanat	
Abandon "Ebendın" - Terk Etmek, Bırakmak	
Ability "Ebiliti" - Hüner, Beceri, Kabiliyet	
About	"Ebaut" - Hakkında, Aşağı Yukarı, Üzere	
Above	"Ebov" - Üstünde, Üzerine	
Abroad	"Ebrood" - Yurt Dışında, Yurtdışı
Absence	"Ebsıns" - Bulunmama, Yokluk	
Absolute "Ebsulut" - Mutlak, Salt, Kesin	
Absolutely	"Ebsulutli" - Mutlaka, Kesinlikle	
Abuse	"Ebus" - Suistimal Etmek, Kötüye Kullanmak
Accept	"Eksept" - Kabul Etmek	
Access	"Ekses" - Giriş, Erişim, Erişmek	
Accompany	"Ekompani" - Eşlik Etmek	
Accomplish	"Ekkompliş" - Başarıyla Tamamlamak, Sonuçlandırmak
Accurate	"Ekkurıt" - Kesin, Doğru
Accuse	"Ekkuus" - Suçlamak, İtham Etmek	
Achieve	"Eçiv" - Elde Etmek, Başarmak	
Acknowledge	"Eknovlıç" - Kabul Etmek, Kabullenmek
Acquire	"Ekkuayır" - Edinmek, Elde Etmek
Across	Karşıya, -Karşı karşıya	Ekross
Act	Davranmak, -Hareket Etmek, Eylem	Ekt
Action	Aksiyon, -Eylem	Ekşın
Active	Etkin, -Aktif	Ektiv
Activity	Faaliyet, -Etkinlik, Aktivite	Ektiviti
Adapt	Uymak, -Uyarlamak, Adapte Olmak	Adapt
Add	Eklemek, -İlave Etmek	Edd
Addition	İlave, -Ek	Addişın
Adequate	Yeterli, -Münasip	Edekueyt
Adjustment	Ayarlama, -Ayar	Edjastmınt
Administration	İdare, -Yönetim	Edministirayşın
Administrator	İdareci, -Yönetici	Edministreytır
Admire	Hayran -Olmak, Beğenmek	Edmayır
Admission	Kabul, -İtiraf	Edmişşın
Admit	Kabul -Etmek, İtiraf Etmek	Edmit
Adopt	Evlat -Edinmek, Benimsemek	Adopt
Advance	İlerlemek, -Avans, Geliştirmek	Edvens
Advanced	İleri, -Gelişkin	Edvensd
Advantage	Avantaj, -Fayda	Edventıç
Adventure	Macera, -Serüven	Edvençur
Advertising	Reklamcılık, -Reklam	Edvırtaysing
Advice	Tavsiye, -Nasihat	Edvays
Advise -(v)	Nasihat Etmek, Öğütlemek	Edvays
Adviser	Müşavir, -Danışman	Edvaysır
Advocate -(v)	Müdafaa Etmek, Savunmak	Edvokıt
Afford	Parası -Yetmek	Efford
Afraid	Korkmuş, -Ürkmüş	Efreyd
Afternoon	Öğleden -Sonra	Aftırnuun
Again	Tekrar, -Yeniden	Egeyn
Against	Karşı, -Aykırı	Egeynst
Age	Yaş, -Çağ	Eyc
Agency	Ajans, -Acente	Eycınsi
Agenda	Gündem, -Ajanda	Ajenda
Agent	Ajan, -Temsilci	Eycınt
Aggressive	Kavgacı, -Agresif	Agressiv
Ago	Evvel, -Önce	Ego
Agree	Aynı -Fikirde Olmak, Anlaşmak, Katılmak	Egrii
Agreement	Anlaşma, -Mutabakat	Egriimınt
Agriculture	Tarım, -Ziraat	Agrikulçır
Ahead	İleride, -İleri	Eheed
Aid	Yardım -Etmek, Yardım	Eyd
Aim	Amaçlamak, -Amaç, Hedef	Eym
Aircraft	Uçak, -Hava Taşıtı	Eyırkıraft
All	Tüm, -Hepsi	All
Alliance	Antlaşma, -İttifak	Ellayıns
Allow	İzin -Vermek	Ellov
Almost	Hemen -Hemen, Neredeyse	Olmost
Already	Zaten, -Halihazırda	Alredi
Always	Her -Zaman, Daima	Alveys
Among	Arasında, -Arasına	Emong
Amount	Meblağ, -Tutar	Emount
Analysis	Analiz, -Tahlil	Enalaysis
Analyze	Analiz -Etmek, Incelemek	Enalayz
Anger	Öfke, -Hiddet	Engır
Angry	Kızgın, -Sinirli	Engri
Announce	Duyurmak, -Anons Etmek	Ennouns
Annual	Senelik, -Yıllık	Enual
Another	Öbür, -Başka	Enadır
Anticipate	Beklemek, -Ummak	Antisipeyt
Anxiety	Endişe, -Kaygı	Engzayıti
Anybody	Kimse, -Hiç Kimse	Enibadi
Anyone	Hiç -Kimse, Kimse	Enivan
Anyway	Neyse, -Her Neyse	Enivey
Anywhere	Her -Yer, Herhangi Bir Yer	Eniveer
Apparent	Görünür, -Aşikar	Epiyırınt
Apparently	Belli -ki, Anlaşılan, Görünüşte	Epiyırıntli
Appeal	Başvurmak, -Temyiz, Cazibe	Eppiyıl
Appear	Belli -Olmak, Görünmek	Eppiyır
Application	Başvuru, -Uygulama	Epplikeyşın
Apply	Başvurmak, -Uygulamak	Epplay
Appointment	Randevu, -Atama, Tayin	Epoyntmınt
Appreciate	Değerini -Artırmak, Beğenmek	Epprışıeyt
Approach	Yanaşmak, -Yaklaşım	Eprooç
Appropriate	Münasip, -Uygun	Eproprieyt
Approval	Tasvip, -Onay	Epruvıl
Approve	Kabul -Etmek, Beğenmek, Onaylamak	Epruuv
Approximately	Takriben, -Aşağı Yukarı	Eproksimıtli
Area	Alan, -Bölge	Eriya
Argument	Argüman, -Sav	Argümınt
Armed	Ateşli, -Silahlı	Armd
Around	Sularında, -Etrafında, Çevresinde	Eround
Arrange	Ayarlamak, -Düzenlemek	Erreyinç
Arrangement	Düzenleme, -Ayarlama	Erreyinçmınt
Arrival	Gelmek, -Geliş, Varış	Errayvıl
Arrive	Varmak, -Ulaşmak	Errayv
Aside	Bertaraf, -Ayrı	Esayd
Ask	Sormak, -İstemek	Esk
Asleep	Uyuyan, -Uyuşuk	Asliip
Aspect	Hal, -Görünüş, Yön	Aspekt
Assault	Saldırmak, -Saldırı	Essalt
Assert	İleri -Sürmek, İddia Etmek	Assört
Assess	Değer -Biçmek	Essess
Assign	Atamak, -Tahsis Etmek	Essayn
Assignment	Atama, -Görevlendirme	Essaynmınt
Assist	Yardım -Etmek	Assist
Assistant	Yardımcı, -Asistan	Assistınt
Associate	Birleştirmek, -İlişkilendirmek	Assoşieyt
Association	Birlik, -Dernek	Assoşieyşın
Assume	Farzetmek, -Varsaymak	Essum
Assumption	Farzetme, -Varsayım	Essumpşın
Assure	Garanti -Etmek	Aşşur
Attach	Eklemek, -İliştirmek	Etteç
Attack	Saldırmak, -Saldırı	Ettek
Attempt	Girişimde -Bulunmak	Etempt
Attention	İlgi, -Özen, Dikkat	Etenşın
Attitude	Tavır, -Tutum	Etdituud
Attractive	Çekici, -Cazibeli	Etrektiv
Attribute	Bağlamak, -Atfetmek, Dayandırmak	Etribüt
Audience	Kitle, -İzleyici, Seyirci	Odiıns
Authority	Otorite, -Yetki	Otoriti
Available	Müsait, -Mevcut, Uygun	eveylıbıl
Avoid	Kaçınmak, -Önlemek	Evoyd
Aware	Farkında, -Haberdar	Eveer
Awareness	Farkındalık, -Farkında Olma	Eveernıss
Away	Uzak, -Uzakta	Evey
Backpack	Sırt -Çantası	Bekpek
Badly	Kötü -Bir Şekilde	Bedli
Band	Müzik -Grubu	Bend
Barely	Zar -Zor	Berli
Basic	Esas, -Temel	Beyzik
Basically	Temelde, -Esasen, Aslında	Beyzikıli
Beach	Plaj, -Sahil, Kumsal	Biiç
Become	Olmak, -Haline Gelmek	Bikam
Bedroom	Yatak -Odası	Bedrum
Behavior	Davranış, -Tavır, Hal	Biheyviyır
Behind	Arkada, -Arkasında	Bihaynd
Belong	Ait -Olmak	Bilon
Best	En -İyi	Best
Bet	İddaa, -İddiaya Girmek	Bet
Better	Daha -İyi	Bettır
Bill	Fatura, -Senet	Bill
Birthday	Doğum -Günü	Börtdey
Bite	Isırmak, -Lokma	Bayt
Blame	Ayıplamak, -Suçlamak	Bleym
Border	Sınır, -Hudut, Kenar	Bordır
Borrow	Ödünç -Almak	Borrov
Bowl	Kase, -Tas	Bovl
Boyfriend	Erkek -Arkadaş, Sevgili	Boyfrend
Breathe	Nefes -Almak	Briiid
Broken	Bozuk, -Kırık	Brokın
Brother	Erkek -Kardeş	Bradır
Brush	Fırça, -Fırçalamak	Braş
Build	İnşa -Etmek	Biylt
Burn	Yakmak, -Yanmak	Börn
Button	Düğme, -Buton	Battın
Buy	Satın -Almak	Bay
Call -off	İptal etmek	Kal of
Captor	Esir -alan	Keptor
Census	Nüfus -Sayımı	Sensıs
Charm	Alımlı, -Sevimli	Çarm
Clay	Kil, -çamur	Kley
Clerk	Yazıcı, -katip	Klörk
Cling	Yapışmak, -Sarılmak	Kling
Commitment	Vaat, -Taahhüt, Bağlılık	Kommitmınt
Compatible	Uygun, -Münasip	Kompetibıl
Conflict	Çatışma, -Kavga, Zıtlık	Konflikt
Cool	Serin, -Havalı	Kuul
Count -(v)	Saymak	Kaunt
Dawn	Şafak, -Tan	Davn
Dear	Sevgili, -Değerli	Diyır
Decay	Çürümek, -Bozulmak	Dikey
Decline	Reddetmek, -Geri Çevirmek	Diklayn
Defect	Defo, -Özür	Difect
Delightful	Hoş, -Güzel	Dilaytful
Demolition	Yıkma, -Tahrip	Demolişın
Dent	Çöküntü, -Göçük	Dent
Dependable	Güvenilir, -Emin	Dipendıbıl
Deprive	Yoksun -Bırakmak	Diprayv
Dinner	Akşam -Yemeği	Dinnır
Disgrace	Utanç, -Ayıp	Disgreys
Dizziness	Baş -Dönmesi	Dizinıs
Doctor	Doktor, -Hekim	Daktır
Enormous	Muazzam, -Kocaman	İnormıs
Earth	Toprak, -Dünya	Örth
Earn	Para -Kazanmak	Örn
Expect	Ümit -etmek	Ekspekt
Exit	Çıkış, -Çıkmak	Egzıt
Eastern	Doğuya -ait, Doğu	İstörn
Equal	Eşit, -Denk	İkuul
Essay	Rapor, -Makale	Essey
Feasible	Mümkün, -Yapılabilir	Fisibıl
Fade	Rengi -Solmak, Silinmek	Feyd
Fulfill	Tatmin -etmek	Fulfil
Fence	Çit, -Parmaklık	Fens
Fierce	Şiddetli, -Hiddetli	Fiyırs
Flimsy	Dayanıksız, -Çürük	Flimsi
Flee	Kaçmak, -Kaçırmak	Flii
Flavor	Tat, -Lezzet	Fleyvır
Fortunate	Minnettar, -Müteşekkir	Forçunıt
Gap	Boşluk, -Fark	Gep
Genius	Deha, -Dahi	Jiniyıs
Genuine	Hakiki, -Gerçek	Cenuin
Get	Elde -Etmek, Almak	Get
Guest	Misafir, -Konuk	Gest
Grocery -Store	Market	Groseri Stor
Gravity	Yer -çekimi	Greviti
Grass	Çimen, -Ot	Gras
Glory	Görkem, -Şan	Glori
Globe	Küre, -Dünya	Glob
Gift	Armağan, -Yetenek	Gift
High	Yüksek, -Zirve	Hay
Headache	Baş -ağrısı	Hedeyk
Heat	Isı, -Sıcaklık	Hiit
Help	Yardım -Etmek	Help
Herb	Bitki, -Ot	Örb
Have	Sahip -Olmak	Hev
Image	Görüntü, -İmge	İmıç
Insane	Deli, -Kaçık	İnseyn
Invade	İstila -Etmek	İnveyd
Invent	İcat -Etmek	İnvent
Inhale	Nefes -Almak, İçine Çekmek	İnheyl
Impulse	Dürtü, -Güdü	İmpuls
Invade	İstila -etmek	İnveyd
Invasion	Akın, -Saldırı, İstila	İnveyşın
Ironic	Alaylı, -Alaycı	Ayronik
Jet -engine	Jet Motoru	Jet Encin
Jukebox	Müzik -Kutusu	Jukbaks
Junk	Ivır -Zıvır	Jank
Keep	Korumak, -Tutmak, Devam Etmek	Kiip
Kick	Tekme, -Tekmelemek	Kik
Kid	Çocuk, -Ufaklık, Dalga Geçmek	Kid
Kind	İyi, -Nazik, Çeşit	Kaynd
Kiss	Öpücük, -Öpmek	Kiss
Knee	Di̇z, -Di̇z Çökmek	Nii
Knock	Vurmak -(Kapıya Vurmak)	Nak
Knot	Düğüm, -Düğüm Atmak	Not
Kidnap	Zorla -Kaçırmak (İnsan, Hayvan Vb.)	Kidnep
Kin	Ai̇le, -Akraba	Kin
Knight	Si̇lahşör, -Şovalye, Satrançta At	Nayt
Knob	Tokmak, -Tutacak	Nob
Labor	İş -(Elle Yapılan Zor İş), İş Gücü	Leybır
Lamb	Kuzu, -Kuzu, Koyun Eti̇	Lemb
Lame	Topal, -Sıkıcı	Leym
Land	Kara, -Arazi	Lend
Land -(v)	İni̇ş Yapmak, Konmak (Uçak vs..)	Lend
Language	Di̇l -( Yabancı Dil vs.)	Lenguıç
Last	Son, -Sonunda, Geçmi̇ş	Last
Last	Devam -Etmek, Sürmek, Yeterli̇ Olmak	Last
Late	Geç, -Sonu (Late September: Eylül Sonu vs.)	Leyt
Laundry	Yıkanacak -Çamaşır, Çamaşırhane	Landri
Law	Yasa, -Kanun, Hukuk	Lov
Lead	Önderli̇k -Etmek, Önde Gi̇tmek, Yol Göstermek	Liid
Leader	Önder, -Li̇der	Lidır
Least	En -Az	Liist
Leave	Terk -Etmek	Liiv
Lend	Ödünç -Vermek	Lend
Less	Daha -Az	Less
Letter	Mektup, -Harf	Lettır
Letter -Box	Mektup Kutusu,Posta Kutusu	Letır Baks
Level	Düzey, -Sevi̇ye	Levıl
Liberty	Serbest -Olmak	Libırti
Library	Ki̇taplık, -Kütüphane	Laybreri
License	Li̇sans -(Ehliyet vs. )	Laysıns
Lie	Yalan, -Yalan Söylemek	Lay
Life	Yaşam, -Hayat	Layf
Lift	Asansör, -Yukarı Kaldırmak	Lift
Light	Işık, -Açık (Renklerde), .Hafi̇f	Layt
Like	Hoşlanmak, -Gi̇bi̇	Layk
Likely	Büyük -Olasılıkla	Laykli
Line	Çi̇zgi̇, -Satır, Sıra	Layn
Living	Yaşam -Bi̇çi̇mi̇	Livin
Load	Yük, -Yüklemek ,Si̇lah Doldurmak	Lod
Local	Bölgesel, -Yerel	Lokıl
Lock	Ki̇li̇tlemek, -Ki̇li̇t	Lok
Look	Bakmak, -Bakış	Luk
Loose	Bol, -Bağsız	Luus
Loss	Kayıp, -Zarar	Loss
Loud	Yüksek -Sesli̇	Laud
Love	Sevgi, -Aşk	Lav
Low	Alçak, -Düşük	Lov
Lower	Aşağıya -İndi̇rmek	Lovır
Luggage	Vali̇z, -Yük	Laggıç
Lunch	Öğle -Yemeği̇	Lanç
Ladle	Kepçe -(Yemek)	Leydıl
Lamppost	Sokak -Lambasi	Lemppost
Lane	Dar -Yol, Şeri̇t (Otoyolda vs.)	Leyn
Lash	Kamçı -/ Bi̇rşeyi̇ Ani̇ Ve Hızlı Sallamak	Leş
Launch	Bi̇r -Şeye Başlamak / Roket Fırlatmak	Launç
Laundry-basket	Çamaşır -Sepeti̇	Laundri-beskıt
League	Bi̇rli̇k, -Li̇g	Liig
Leak	Akıntı,, -Sızmak	Liik
Lease	Beli̇rli̇ -Bi̇r Zaman İçi̇n Ki̇ralama	Liis
Lecture	Ders, -Konferans Vermek	Lekçur
Lettuce	Salata, -Kıvırcık	Letus
Lever	Kaldıraç, -Mani̇vela	Levır
Limit	Hat, -Sınır,, Li̇mi̇t	Limit
Liquidate	Tasfi̇ye -Etmek	Likuideyt
Litter	Çöp, -Dağınıklık	Litır
Loaf	Bütün -Ekmek / Vakti̇ Boşa Geçi̇rmek	Loaf
Loan	Ödünç -Vermek, Borç Vermek, Borç	Lon
Lonely	Yalnız, -Ki̇msesi̇z	Lonli
Loyalty	Sadakat, -Baglilik	Loyılti
Memorial	Bi̇r -Ki̇şi̇ni̇n Anısına Yapılan Yapıt	Memoriyıl
Mend	Tami̇r -Etmek	Mend
Mere	Sadece, -Yalnızca	Miyır
Mess	Kargaşa, -Dağınıklık	Mes
Midnight	Gece -Yarısı	Midnayt
Mimic	Takli̇t -Etmek (Birini)	Mimik
Mind	Bi̇ri̇ne -Bakmak, Dert Etmek	Maynd
Mine	Beni̇m/ -Maden Ocağı/ Mayın	Mayn
Minimum	En -az	Minimım
Minister	Bakan/ -Büyükelçi̇	Ministır
Minor	Önemsi̇z, -Ufak, Mi̇nör	Maynır
Miss	Özlemek/ -Kaçırmak/ Kayıp	Miss
Missile	Füze, -Fırlatılan Ci̇si̇m	Missil
Mission	Özel -Bi̇r Görev İçi̇n Yolculuk, Mi̇syon	Mişın
Misunderstand	Yanlış -Anlamak	Misandırstend
Mix	Karıştırmak, -Karışmak	Mix
Model	Model -(Model Araba, Manken vs.)	Madıl
Modern	Modern, -Çağdaş	Madırn
Modest	Alçakgönüllü, -Ilımlı	Modıst
Month	Ay -(Takvim Ayı)	Mant
More	Daha -Fazla	Mor
Most	En -Çok	Most
Move	Hareket -Etmek, Etti̇rmek	Muuv
Much	Çok -(Miktarca)	Maç
Mystery	Esrar, -Bi̇li̇nmezli̇k	Mistıri
Machine-gun	Maki̇neli̇ -Tüfek	Maşin-gan
Madam	Madam, -Bayan	Medam
Main	Ana, -Esas	Meyn
Make	Yapmak, -Çeşi̇t	Meyk
Make --up	Makyaj, Uydurmak	Meyk-ap
Manage	Yönetmek, -Kontrol Etmek	Menıc
Management	Yöneti̇m, -İdare	Menıcmınt
Manager	Yöneti̇ci̇, -Menajer	Menıcır
Manner	Tavır, -Görgü	Mennır
March	Marş, -Yürüyüş, Mart (Ayı)	Març
Mark	İşaretlemek, -İşaret	Mark
Market	Pazar, -Pi̇yasa	Markıt
Marvelous	Şahane, -Hari̇ka	Marvılıs
Mass	Kütle, -Ki̇tle, Kalabalık	Mess
Master	Uzman, -Şef, Sahi̇p, Hoca	Mastır
Match	Uymak, -Uyuşmak/ Maç/ Ki̇bri̇t	Meç
Material	Malzeme, -Kumaş	Matiyırıl
Matter	Mesele, -Önemli̇ Olmak	Meddır
May	Mayıs, -(Maybe: Belki̇)	Mey (Meybi)
Me	Bana, -Beni	Mi
Mean	Anlamına -Gelmek / Ci̇mri̇	Miin
Means	Sti̇l, -Yol/ Yardım/ Para	Miins
Meantime	Bu -Arada	Miintaym
Meanwhile	Bu -Arada, Aynı Anda	Miinvayl
Medicine	İlaç, -Tıp	Medısın
Meet	Buluşmak, -Karşılamak	Miit
Meeting	Toplantı, -Mi̇ti̇ng	Miiting
Melody	Ezgi̇, -Melodi̇	Melodi
Maid	Kadın -Hi̇zmetçi̇	Meyd
Maintain	Bakım -Onarım/ Eski̇ Hali̇nde Koruma/ Destekleme	Meynteyn
Major	Büyük, -Önemli̇, Bi̇nbaşı (Orduda)	Meyjır
Manual	El -İle Yapılan	Menual
Manufacture	Üretmek -(Fab. vs.)	Manufekçır
Margin	Marj, -Katkı	Marjin
Massacre	Katli̇am, -Katli̇am Yapmak	Massekır
Massive	Çok -Büyük, Ağır	Massiv
Mat	Hasır, -Paspas	Met
Mattress	Yatak, -Sedi̇r	Metrıss
Mature	Olgun, -Ergi̇n/ Vadesi̇ Gelen (Ödeme)	Maçur
Maturity	Olgunluk -Zamanı/ Vade Zamanı	Maçuriti
Maximum	Maksi̇mum, -Azami̇	Meksimum
Meadow	Çayır, -Mera	Medov
Mechanic	Maki̇ni̇st, -Mekani̇k	Mekınik
Merely	Sadece, -Ancak	Miirli
Merge	Bi̇rleşerek -Kaybolma, Konsoli̇dasyon (Şirket, Devlet)	Merç
Merit	Hak -Etmek/ Değmek	Merit
Might	Kuvvet, -Kudret, Belki̇ (Might Be: Az İhtimali.)	Mayt
Mild	Hafi̇f, -Yumuşak, Ilık	Mayld
Mince	Kıyma -(Et.), Kıymak	Mins
Miser	Hasi̇s, -Ci̇mri̇	Misır
Mislay	Nereye -Koyduğunu Unutmak	Misley
Mobile	Oynak, -Hareketli̇	Mobayl
Mole	Köstebek/ -Vücuttaki̇ Ben	Mol
Monument	Anıt, -Abi̇de	Monumınt
Mood	Mi̇zaç, -Ruh Hali̇	Muud
Moss	Yosun -(Nemli Yerlerde Oluşan)	Mos
Motion	Hareket, -Önerme	Moşın
Motive	Moti̇vlenmek, -Güdü	Motiv
Multiply	Çarpmak -(Matematik)/ Çoğalmak	Multiplay
Murmur	Mırıldanmak/ -Uğultu	Murmur
Muscle	Pazu, -Kas	Masıl
Mute	Sesi̇z, -Di̇lsi̇z	Müyt
Mutter	Mırıldanmak, -Kısık Sesle Söylenmek	Mattır
Mutual	Müşterek, -İki̇ Taraflı	Müçul
Nail	Tırnak/ -Çi̇vi̇	Neyl
Neck	Boyun, -Ense	Nek
Need	Gereksi̇ni̇m, -İhti̇yaç	Niid
Needle	İğne, -Şi̇ş	Niidıl
Neglect	İhmal -Etmek	Niglekt
Neither…Nor…	Ne -O..Ne Öbürü	Niidır…Nor…
Nephew	Yeğen -(Erkek)	Neffiyuv
Nest	Yuva, -Kuş Yuvası	Nest
Never	Hi̇çbi̇r -Zaman, Asla	Nevır
Nevertheless	Buna -Rağmen, Hala, Ama	Nevırdıless
Next	En -Yakın, Bi̇r Sonraki̇, Ertesi̇	Nekst
Niece	Yeğen -(Kız)	Niiis
Nobody	Hi̇ç -Ki̇mse	Nobadi
Noon	Öğle -Zamanı	Nuun
Nothing	Hi̇çbi̇r -Şey	Nating
Notice	Duyuru/ -Di̇kkati̇ni̇ Çekmek	Notis
Nowhere	Hi̇çbi̇r -Yer	Nover
Nuisance	Sıkıntı, -Dert	Nuisans
Number	Sayı, -Numaralandırmak	Nambır
Nurse	Hemşi̇re, -Hasta Bakıcı	Nörs
